Basin.id,Basin.type,Basin.flowgroup,Basin.lon,Basin.lat,Sampling.date,Pupae.abund,Pupae.pres,Treatment.status,Methoprene.fail,Rainfall,pH,Temp.C,Cond,DO,Sal
59,separated,MinerEvanstonRammer,-87.956346,42.084539,4/15/21,NA,NA,not_treated,NA,0,7.9,10.2,0.855,0.85,0.03
31,separated,MinerEvanstonRammer,-87.957901,42.085423,4/15/21,NA,NA,pre_treatment,NA,0,7.6,9.9,0.655,0.79,0.02
32,separated,MinerEvanstonRammer,-87.957907,42.085404,4/15/21,NA,NA,pre_treatment,NA,0,7.2,9.5,1.42,0.27,0
33,separated,MinerEvanstonRammer,-87.957481,42.084462,4/15/21,NA,NA,pre_treatment,NA,0,7.9,10.2,0.216,0.21,0
34,separated,MinerEvanstonRammer,-87.957248,42.084567,4/15/21,NA,NA,pre_treatment,NA,0,8.2,11,0.18,0.23,0
35,separated,MinerEvanstonRammer,-87.957257,42.084494,4/15/21,NA,NA,pre_treatment,NA,0,7.7,10.1,0.49,0.42,0.02
36,separated,MinerEvanstonRammer,-87.956212,42.084527,4/15/21,NA,NA,pre_treatment,NA,0,8.6,10.2,0.138,0.03,0
37,separated,DonaldBanta,-87.955063,42.083446,4/15/21,NA,NA,pre_treatment,NA,0,7.5,11.4,2.59,0.27,0.12
38,separated,DonaldBanta,-87.954987,42.083488,4/15/21,NA,NA,pre_treatment,NA,0,8.4,9.4,0.873,0.13,0.03
39,separated,DonaldBanta,-87.955064,42.08274,4/15/21,NA,NA,pre_treatment,NA,0,8.2,10.9,0.416,0.35,0.01
40,separated,DonaldBanta,-87.954972,42.08276,4/15/21,NA,NA,pre_treatment,NA,0,8.5,9.9,0.311,0.49,0.01
41,separated,DonaldBanta,-87.955073,42.081956,4/15/21,NA,NA,pre_treatment,NA,0,8.3,10.1,0.274,0.3,0.01
42,separated,DonaldBanta,-87.954946,42.081948,4/15/21,NA,NA,pre_treatment,NA,0,8.5,9.8,0.204,0.32,0
43,separated,MinerEvanstonRammer,-87.95384,42.082057,4/15/21,NA,NA,pre_treatment,NA,0,6.7,10.4,4.1,0.03,0.21
44,separated,MinerEvanstonRammer,-87.953765,42.082044,4/15/21,NA,NA,pre_treatment,NA,0,7.8,10.1,0.167,0.63,0
45,separated,MinerEvanstonRammer,-87.953832,42.083042,4/15/21,NA,NA,pre_treatment,NA,0,NA,NA,NA,NA,NA
46,separated,MinerEvanstonRammer,-87.953746,42.083024,4/15/21,NA,NA,pre_treatment,NA,0,NA,NA,NA,NA,NA
47,separated,MinerEvanstonRammer,-87.954378,42.084479,4/15/21,NA,NA,pre_treatment,NA,0,7.7,9.6,0.02,0.37,0
48,separated,MinerEvanstonRammer,-87.954381,42.084463,4/15/21,NA,NA,pre_treatment,NA,0,6.8,10.3,2.04,0.11,0.09
49,separated,MinerEvanstonRammer,-87.953833,42.084031,4/15/21,NA,NA,pre_treatment,NA,0,6.7,10.9,0.446,0.59,0.01
50,separated,MinerEvanstonRammer,-87.953712,42.084027,4/15/21,NA,NA,pre_treatment,NA,0,7,10.5,0.248,0.31,0
51,separated,MinerEvanstonRammer,-87.953743,42.084108,4/15/21,NA,NA,pre_treatment,NA,0,7.3,10.3,0.223,0.35,0
52,separated,MinerEvanstonRammer,-87.952483,42.08413,4/15/21,NA,NA,pre_treatment,NA,0,6.6,9.9,0.74,1.04,0.03
53,separated,MinerEvanstonRammer,-87.952659,42.083495,4/15/21,NA,NA,pre_treatment,NA,0,6.8,10.3,0.359,0.57,0.01
54,separated,MinerEvanstonRammer,-87.95254,42.083501,4/15/21,NA,NA,pre_treatment,NA,0,6.6,10.5,0.399,0.67,0.01
55,separated,MinerEvanstonRammer,-87.952665,42.081681,4/15/21,NA,NA,pre_treatment,NA,0,7,10.5,0.147,0.22,0
56,separated,MinerEvanstonRammer,-87.952544,42.081668,4/15/21,NA,NA,pre_treatment,NA,0,6.4,9.6,0.364,0.42,0.01
57,separated,MinerEvanstonRammer,-87.952664,42.083969,4/15/21,NA,NA,pre_treatment,NA,0,6.6,9.9,1.21,0.16,0.04
58,separated,DonaldBanta,-87.957397,42.082795,4/15/21,NA,NA,pre_treatment,NA,0,6.7,9,4.71,0.19,0.24
60,separated,MinerEvanstonRammer,-87.954944,42.084451,4/15/21,NA,NA,pre_treatment,NA,0,5.9,10.6,6.17,0.68,0.27
61,combined,Stratford,-87.96229318,42.08061185,4/15/21,NA,NA,pre_treatment,NA,0,6.7,11,0.484,2.32,0.01
62,combined,Stratford,-87.9622283,42.08059342,4/15/21,NA,NA,pre_treatment,NA,0,6.7,9.1,0.372,1.85,0.01
63,combined,Stratford,-87.96231902,42.07995083,4/15/21,NA,NA,pre_treatment,NA,0,7,7.6,0.199,0.85,0
64,combined,Stratford,-87.96222278,42.07996232,4/15/21,NA,NA,pre_treatment,NA,0,7.1,9.3,0.244,0.8,0
65,combined,Stratford,-87.9623084,42.0791431,4/15/21,NA,NA,pre_treatment,NA,0,6.7,9.1,0.745,2.64,0.03
66,combined,Stratford,-87.96220848,42.07914033,4/15/21,NA,NA,pre_treatment,NA,0,6.5,8.9,1.04,2.11,0.05
67,combined,Gibbons,-87.96121885,42.07906305,4/15/21,NA,NA,pre_treatment,NA,0,7,10.1,0.195,0.14,0
68,combined,Stratford,-87.96220773,42.07905157,4/15/21,NA,NA,pre_treatment,NA,0,6.9,8.2,0.31,0.79,0.01
69,combined,Stratford,-87.96231615,42.0790679,4/15/21,NA,NA,pre_treatment,NA,0,6.5,8.6,0.21,0.74,0.06
70,combined,Gibbons,-87.96128735,42.07727365,4/15/21,NA,NA,pre_treatment,NA,0,7.3,9.3,0.187,0.53,0
71,combined,Gibbons,-87.96118708,42.07722598,4/15/21,NA,NA,pre_treatment,NA,0,6.7,10.8,0.618,1.44,0.02
72,combined,Gibbons,-87.96116213,42.0793045,4/15/21,NA,NA,pre_treatment,NA,0,6.5,9.4,0.415,0.5,0.01
73,combined,Stratford,-87.96217608,42.07733793,4/15/21,NA,NA,pre_treatment,NA,0,5.9,8.1,0.65,1.06,0.17
74,combined,Stratford,-87.96222302,42.07735468,4/15/21,NA,NA,pre_treatment,NA,0,7,8.8,0.188,0.31,0
75,combined,Stratford,-87.96229127,42.07726987,4/15/21,NA,NA,pre_treatment,NA,0,6.8,7.9,0.411,0.95,0.01
76,combined,Stratford,-87.96237833,42.07733773,4/15/21,NA,NA,pre_treatment,NA,0,NA,NA,NA,NA,NA
77,combined,Stratford,-87.96231955,42.07737213,4/15/21,NA,NA,pre_treatment,NA,0,7.1,8.8,0.21,0.46,0
78,combined,Gibbons,-87.96109237,42.07638237,4/15/21,NA,NA,pre_treatment,NA,0,7,10.7,0.495,0.99,0.01
79,combined,Gibbons,-87.96120367,42.07570793,4/15/21,NA,NA,pre_treatment,NA,0,6.8,10.2,0.471,0.98,0.01
80,combined,Gibbons,-87.96107445,42.07569713,4/15/21,NA,NA,pre_treatment,NA,0,7,10.2,0.08,0.7,0
81,combined,MayfairCarlyle,-87.96571188,42.07763798,4/15/21,NA,NA,pre_treatment,NA,0,6.4,7.5,0.295,0.74,0.01
82,combined,MayfairCarlyle,-87.96582388,42.0775284,4/15/21,NA,NA,pre_treatment,NA,0,7.3,9,0.154,0.43,0
83,combined,MayfairCarlyle,-87.96585632,42.07762897,4/15/21,NA,NA,pre_treatment,NA,0,7,9.1,0.149,0.38,0
84,combined,MayfairCarlyle,-87.96835267,42.07911363,4/15/21,NA,NA,pre_treatment,NA,0,6.8,8.5,0.321,0.64,0.01
85,combined,MayfairCarlyle,-87.96847103,42.07911247,4/15/21,NA,NA,pre_treatment,NA,0,6.8,9.5,0.125,0.1,0
86,combined,MayfairCarlyle,-87.96844195,42.08003452,4/15/21,NA,NA,pre_treatment,NA,0,6.9,8.9,0.147,0.25,0
87,combined,MayfairCarlyle,-87.96832385,42.08001807,4/15/21,NA,NA,pre_treatment,NA,0,6.9,8.7,0.249,0.5,0
88,combined,MayfairCarlyle,-87.96706973,42.079124,4/15/21,NA,NA,pre_treatment,NA,0,7,7.9,0.261,0.69,0.01
89,combined,MayfairCarlyle,-87.96723588,42.07917337,4/15/21,NA,NA,pre_treatment,NA,0,7,9.3,0.176,0.36,0
90,combined,MayfairCarlyle,-87.96715035,42.07909997,4/15/21,NA,NA,pre_treatment,NA,0,6.8,8.5,0.334,0.55,0.01
59,separated,MinerEvanstonRammer,-87.956346,42.084539,6/4/21,0,0,not_treated,NA,trace,7.13,16.3,0.132,0.07,0.06
31,separated,MinerEvanstonRammer,-87.957901,42.085423,6/4/21,0,0,pre_treatment,NA,trace,7.68,16.6,0.369,0.3,0.01
32,separated,MinerEvanstonRammer,-87.957907,42.085404,6/4/21,0,0,pre_treatment,NA,trace,7.06,14.6,0.376,0.23,0.01
33,separated,MinerEvanstonRammer,-87.957481,42.084462,6/4/21,0,0,pre_treatment,NA,trace,6.53,16.7,0.292,0.15,0.01
34,separated,MinerEvanstonRammer,-87.957248,42.084567,6/4/21,0,0,pre_treatment,NA,trace,6.61,16.4,0.299,0.19,0.01
35,separated,MinerEvanstonRammer,-87.957257,42.084494,6/4/21,0,0,pre_treatment,NA,trace,6.45,16.4,0.396,0.2,0.01
36,separated,MinerEvanstonRammer,-87.956212,42.084527,6/4/21,0,0,pre_treatment,NA,trace,7.4,16.8,0.3,0.29,0.01
37,separated,DonaldBanta,-87.955063,42.083446,6/4/21,0,0,pre_treatment,NA,trace,5.92,18.1,0.309,0.13,0.15
38,separated,DonaldBanta,-87.954987,42.083488,6/4/21,0,0,pre_treatment,NA,trace,6.68,16.6,0.771,0.49,0.03
39,separated,DonaldBanta,-87.955064,42.08274,6/4/21,8,1,pre_treatment,NA,trace,6.66,17.4,0.292,0.18,0.01
40,separated,DonaldBanta,-87.954972,42.08276,6/4/21,0,0,pre_treatment,NA,trace,7.02,15.6,0.2,0.16,0
41,separated,DonaldBanta,-87.955073,42.081956,6/4/21,1,1,pre_treatment,NA,trace,7.51,16.5,0.279,0.22,0.01
42,separated,DonaldBanta,-87.954946,42.081948,6/4/21,1,1,pre_treatment,NA,trace,7.15,15.3,0.198,0.15,0
43,separated,MinerEvanstonRammer,-87.95384,42.082057,6/4/21,NA,NA,pre_treatment,NA,trace,6.08,17.5,0.205,0.09,0.09
44,separated,MinerEvanstonRammer,-87.953765,42.082044,6/4/21,0,0,pre_treatment,NA,trace,6.69,17.3,0.229,0.16,0
45,separated,MinerEvanstonRammer,-87.953832,42.083042,6/4/21,0,0,pre_treatment,NA,trace,6.7,15.8,0.162,0.15,0
46,separated,MinerEvanstonRammer,-87.953746,42.083024,6/4/21,NA,NA,pre_treatment,NA,trace,NA,NA,NA,0,NA
47,separated,MinerEvanstonRammer,-87.954378,42.084479,6/4/21,NA,NA,pre_treatment,NA,trace,NA,NA,NA,0,NA
48,separated,MinerEvanstonRammer,-87.954381,42.084463,6/4/21,0,0,pre_treatment,NA,trace,6.55,17.1,0.196,0.14,0
