sample-id	sample_control	pcr_date	pcr_conc	Basin.id	Basin.type	Basin.flowgroup	Basin.lon	Basin.lat	Sampling.date	Date.code	Biotype	ASV.richness	Shannon	C39.relabund	Firmicutes.relabund	Proteobacteria.relabund	Pupae.abund	Pupae.pres	Treatment.status	Methoprene.fail.rate	Rainfall	pH	Temp.C	Cond	DO	Sal
A_41	sample	12/1/21	4.56	41	separated	DonaldBanta	-87.955073	42.081956	4/15/21	A	1	355	3.1503953	0.008586408	0.01361814	0.496209969	NA	NA	pre_treatment	NA	0	8.3	10.1	0.274	0.3	0.01
A_43	sample	12/1/21	7.8	43	separated	MinerEvanstonRammer	-87.95384	42.082057	4/15/21	A	1	310	3.6496284	0	0.432590282	0.484845737	NA	NA	pre_treatment	NA	0	6.7	10.4	4.1	0.03	0.21
A_50	sample	12/1/21	14	50	separated	MinerEvanstonRammer	-87.953712	42.084027	4/15/21	A	1	451	3.9981235	0.000712501	0.00095709	0.722667092	NA	NA	pre_treatment	NA	0	7	10.5	0.248	0.31	0
A_52	sample	12/1/21	14	52	separated	MinerEvanstonRammer	-87.952483	42.08413	4/15/21	A	1	331	3.5251215	0.000161691	0.007316531	0.708207854	NA	NA	pre_treatment	NA	0	6.6	9.9	0.74	1.04	0.03
A_57	sample	12/1/21	9.4	57	separated	MinerEvanstonRammer	-87.952664	42.083969	4/15/21	A	1	522	2.7099711	0.000185281	0.001652709	0.721129475	NA	NA	pre_treatment	NA	0	6.6	9.9	1.21	0.16	0.04
A_60	sample	12/1/21	16	60	separated	MinerEvanstonRammer	-87.954944	42.084451	4/15/21	A	1	617	3.8408589	0.000359675	0.076100198	0.595064335	NA	NA	pre_treatment	NA	0	5.9	10.6	6.17	0.68	0.27
A_66	sample	12/1/21	12	66	combined	Stratford	-87.96220848	42.07914033	4/15/21	A	1	563	4.6221202	0.000884006	0.034173139	0.612527625	NA	NA	pre_treatment	NA	0	6.5	8.9	1.04	2.11	0.05
A_69	sample	12/1/21	8.1	69	combined	Stratford	-87.96231615	42.0790679	4/15/21	A	1	447	4.2009465	0.000539285	0.001949722	0.595453414	NA	NA	pre_treatment	NA	0	6.5	8.6	0.21	0.74	0.06
A_71	sample	12/1/21	12	71	combined	Gibbons	-87.96118708	42.07722598	4/15/21	A	1	251	3.5990782	0	0.027386254	0.61678456	NA	NA	pre_treatment	NA	0	6.7	10.8	0.618	1.44	0.02
A_78	sample	12/1/21	7.3	78	combined	Gibbons	-87.96109237	42.07638237	4/15/21	A	1	146	3.0670492	0.002964343	0.001058694	0.856271703	NA	NA	pre_treatment	NA	0	7	10.7	0.495	0.99	0.01
A_83	sample	12/1/21	12	83	combined	MayfairCarlyle	-87.96585632	42.07762897	4/15/21	A	1	250	3.6517435	0.013700622	0.210291623	0.553324178	NA	NA	pre_treatment	NA	0	7	9.1	0.149	0.38	0
A_88	sample	12/1/21	16	88	combined	MayfairCarlyle	-87.96706973	42.079124	4/15/21	A	1	339	4.461076	0	0.032427362	0.829547183	NA	NA	pre_treatment	NA	0	7	7.9	0.261	0.69	0.01
B_31	sample	11/6/21	12	31	separated	MinerEvanstonRammer	-87.957901	42.085423	6/11/21	B	1	939	3.6961468	0.010797395	0.168053735	0.60033514	1	1	pre_treatment	NA	0	7.3	20.1	0.62	0.2	0.02
B_32	sample	12/1/21	8.6	32	separated	MinerEvanstonRammer	-87.957907	42.085404	6/11/21	B	1	427	4.7855955	0.002134401	0.468467567	0.341837585	0	0	pre_treatment	NA	0	7.8	18.1	0.58	0.38	0.02
B_33	sample	11/6/21	8	33	separated	MinerEvanstonRammer	-87.957481	42.084462	6/11/21	B	1	726	5.1811338	0.006373652	0.191849307	0.3798839	1	1	pre_treatment	NA	0	7.2	19.8	0.96	0.05	0.05
B_34	sample	12/1/21	8.1	34	separated	MinerEvanstonRammer	-87.957248	42.084567	6/11/21	B	1	475	4.6498342	0.00090611	0.426928719	0.283396617	0	0	pre_treatment	NA	0	6.94	20.2	0.612	0.2	0.02
B_40	sample	11/6/21	13	40	separated	DonaldBanta	-87.954972	42.08276	6/11/21	B	1	1123	5.0455183	0.049893853	0.216853076	0.539485898	1	1	pre_treatment	NA	0	7.35	19.1	0.274	0.11	0.01
B_41	sample	11/6/21	8	41	separated	DonaldBanta	-87.955073	42.081956	6/11/21	B	1	889	5.7082197	0.058814649	0.172777466	0.350666437	0	0	pre_treatment	NA	0	7.15	19.5	0.35	0.14	0.01
B_42	sample	11/6/21	4.38	42	separated	DonaldBanta	-87.954946	42.081948	6/11/21	B	1	729	5.6751345	0.006314726	0.136939343	0.538158987	0	0	pre_treatment	NA	0	7.42	19	0.319	0.13	0.01
B_43	sample	11/6/21	13	43	separated	MinerEvanstonRammer	-87.95384	42.082057	6/11/21	B	1	366	3.6090322	0.005076268	0.257695275	0.552442332	0	0	pre_treatment	NA	0	7.33	20.5	1.46	0.58	0.11
B_44	sample	11/6/21	18	44	separated	MinerEvanstonRammer	-87.953765	42.082044	6/11/21	B	1	295	3.0413988	0.260573702	0.195822864	0.459275544	3	1	pre_treatment	NA	0	7.88	20.8	0.351	0.12	0.01
B_49	sample	11/6/21	12	49	separated	MinerEvanstonRammer	-87.953833	42.084031	6/11/21	B	1	594	4.4987148	0.157891254	0.173420095	0.640167641	0	0	pre_treatment	NA	0	6.39	20.5	0.471	0.1	0.01
B_50	sample	11/6/21	11	50	separated	MinerEvanstonRammer	-87.953712	42.084027	6/11/21	B	1	751	4.9083295	0.001260096	0.225887748	0.436551055	2	1	pre_treatment	NA	0	6.35	22.3	0.597	0.22	0.02
B_51	sample	11/6/21	7.5	51	separated	MinerEvanstonRammer	-87.953743	42.084108	6/11/21	B	1	621	5.4611857	0.002080678	0.378917527	0.318759916	0	0	pre_treatment	NA	0	6.46	20.4	0.969	1.2	0.05
B_52	sample	11/6/21	11	52	separated	MinerEvanstonRammer	-87.952483	42.08413	6/11/21	B	1	425	4.7030535	0.005563421	0.53520602	0.22765318	0	0	pre_treatment	NA	0	6.63	19.3	1.1	0.22	0.6
